K,Euclidiana,Manhattan,Chebyshev,Minkowski
1,0.5,0.5416666666666666,0.3333333333333333,0.5
2,0.5416666666666666,0.5,0.3333333333333333,0.5416666666666666
3,0.625,0.5416666666666666,0.25,0.5416666666666666
4,0.7083333333333334,0.6666666666666666,0.5,0.6666666666666666
5,0.625,0.5833333333333334,0.4583333333333333,0.6666666666666666
6,0.5,0.5833333333333334,0.4166666666666667,0.5416666666666666
7,0.5,0.5416666666666666,0.4166666666666667,0.5
8,0.5,0.625,0.4166666666666667,0.5
9,0.625,0.625,0.4166666666666667,0.5
10,0.5833333333333334,0.625,0.4583333333333333,0.5833333333333334
11,0.625,0.5416666666666666,0.4166666666666667,0.5416666666666666
12,0.5833333333333334,0.5416666666666666,0.4583333333333333,0.5416666666666666
13,0.5,0.5,0.5,0.5
14,0.4583333333333333,0.5,0.5,0.5
15,0.5,0.5,0.4583333333333333,0.5416666666666666
